Actual Player Name,Site.Account_Name,Serial Nos
,Kiehl's Richmond 013,A0 --> US00217123
,1982 Olympus,A0 -> DS43700201E09F01932 --> DS43700301E35F00275
,7-11 Edmonton 33343,A0 -> US00217675
,KFC/TB 6307,A0 210SHAR5V384 --> 211SHQU78460 --> 412SHRC49246
,KFC Saskatoon 8004,A0 210SHBS5V365 --> 211BHTX78465
,KFC 1891,A0 210SHGQ5V399
,KFC Square One 1918,A0 210SHHZ5V369 -->211SHWA78449 --> 210SHHZ5V369 --> 211SHWA78449
,KFC Richmond,A0 210SHJL5V388 --> 211SHDP7W306  --> 311SHAR41856
,Pizza Hut - Bishop St,A0 210SHQU5V396
,KFC Dawson Creek 098-001,A0 210SHTX5V401
,KFC 1837,A0 210SHZY5V373 --> 504SHTX1G289
,KFC 1861,A0 210SHZY5V397 --> 211SHNG78447 --> 504SHBS1G373
,KFC 1878,A0 211 SHRC78454 --->  210SHEW5V404 ---> 412SHRC49222 --> 211SHQU78412 --> 504SHHZ1G377
,KFC 2004,A0 211SHAR78448
,KFC 1372,A0 211SHFK7W291 --> 210SHTX5V401 -->211SHQU78460
,Kentucky Fried Chicken Canada Company,A0 211SHGQ78415
,KFC 1307,A0 211SHGQ78415
,Pizza Hut White Court,A0 211SHJL7W340
,KFC 1822,A0 211SHLV7W880 --> 211SHGQ78463 --> 407SHUB3N614
,KFC 1513,A0 211SHNG78423 -->210SHFK5V387-->504SHWA1G369-->211SHKH7W885
,KFC Saskatoon 8003,A0 211SHQU78412 -->211SHJL78476
,KFC Saskatoon 8009,A0 211SHTX7W329 --> 404SHFKK0291 --> 211SHLV78464 -> 211SHPT7W872 --> 402SHCN74899-->407SHBS8H229
,KFC 1951,A0 211SHVM78455 --> 402SHFK40259
,KFC 1374,A0 211SHVM7W295 -->312SHXJ7G250
,KFC/TB 1890,A0 211SHWA78425 --- > 211SHYD7W850---> 402SHJL41436
,Pizza Hut - Strathmore,A0 211SHXJ78426 -> 211SHTD78410 --> 211SHWA78425 --> 201SVDP5V402
,KFC 1430,A0 BYTE2015085024
,KFC Dawson Creek 098-001,A0 BYTE20160418552
,KFC Saskatoon 8004,A0 BYTE20160923505
,KFC Yorkdale 1932,A0 DS43700301E35F00113
,KFC Rideau Centre 1920,A0 DS43700301E35F00116
,KFC Square One 1918,A0 DS43700301E35F00159
,KFC 1951,A0 DS43700301E35F00298
,KFC/TB 1380,A0 DS43700301E49F00156
,Chairmans Brands- 241 Pizza,A0 US00167771
,7-11 Bonnyville 27001,A0 US00216669
,7-11 Calgary 37216,A0 US00216804
,7-11 Edmonton 37184,A0 US00216804
,7-11 Cold Lake 32239,A0 US00217000
,KFC 1838,A0: 208KCUKA6790 --> 211SHFS78429 ->211SHNG78447
,KFC Beamsville 2025,A1  211SHFK78451 --> 210SHLV5V400
,KFC 1441,A1 - 211SHUB78422 --> 504SHDP1G362
,KFC Saskatoon 8012,A1 - BYTE20160923059
,KFC Saskatoon 8004,A1 - BYTE20160923506
,7-11 Cloverdale  26517,A1 - US00167776
,7-11 Edmonton 27633,A1 - US00218284
,KFC 2024,A1 --> BYTE2015050828
,KFC 1802,A1 --> BYTE2015050993
,Kiehl's Richmond 013,A1 --> US00218204
,1982 Olympus,A1 -> DS43700301E49F00208
,7-11 Edmonton 33343,A1 -> US00217247
,KFC 1822,A1 210SHCN5V371 --> 407SHEW8H244
