Id,Account_Name,Store_Status,Parent_Account.Account_Name,Shipping_Street,Shipping_City,Shipping_State,Shipping_Country,Location_Email,DMB_Active,Layout,Menu_Board_Configuration,Number_of_Menu_Panels,Menus_Orientation,Store_Time_Zone
2648626000000760303,"Kernels Lime Ridge Mall",Open,"Kernels Popcorn Limited","999 Upper Wentworth",Hamilton,ON,Canada,,false,2648626000023364266,,,,
2648626000000760304,"Kernels Conestoga",Open,"Kernels Popcorn Limited","550 King St N",Waterloo,ON,Canada,,false,2648626000023364266,,,,
2648626000000760305,"Kernels Burlington Mall",Open,"Kernels Popcorn Limited","777 Guelph Line",Burlington,ON,Canada,,false,2648626000023364266,,,,
2648626000000760306,"Kernels Kingsway Garden",Open,"Kernels Popcorn Limited","109 Kingsway Garden Mall",Edmonton,AB,Canada,,false,2648626000023364266,,,,
2648626000000760307,"Kernels Carlingwood",Open,"Kernels Popcorn Limited","2121 Carling Ave",Ottawa,ON,Canada,,false,2648626000023364266,,,,
2648626000000760308,"Kernels Sunridge",Open,"Kernels Popcorn Limited","2525 36th St NE",Calgary,AB,Canada,,false,2648626000023364266,,,,
2648626000000760309,"Kernels Lawson Heights",Open,"Kernels Popcorn Limited","134 Primrose Dr",Saskatoon,SK,Canada,,false,2648626000023364266,,,,
2648626000000760310,"Kernels St Vital",Open,"Kernels Popcorn Limited","1225 St Mary's Rd",Winnipeg,MB,Canada,,false,2648626000023364266,,,,
2648626000000760311,"Kernels Willowbrook C0010 (formerly F0073)",Open,"Kernels Popcorn Limited","19705 Fraser Hwy",Langley,BC,Canada,,false,2648626000023364266,,,,
2648626000000760312,"Kernels Chinook",Open,"Kernels Popcorn Limited","6455 Macleod Trail SW",Calgary,AB,Canada,,false,2648626000023364266,,,,
2648626000000760313,"Kernels Lansdowne Place",Open,"Kernels Popcorn Limited","645 Lansdowne St W",Peterborough,ON,Canada,,false,2648626000023364266,,,,
2648626000000760314,"Kernels BR Bayview/York Mills",Open,"Kernels Popcorn Limited","2534 Bayview Ave",Toronto,ON,Canada,,false,2648626000023364266,,,,
2648626000000760315,"Kernels Bayshore F0082",Open,"Kernels Popcorn Limited","100 Bayshore Dr",Ottawa,ON,Canada,,false,2648626000023364266,,,,
2648626000000760316,"Kernels Devonshire",Open,"Kernels Popcorn Limited","3100 Howard Ave",Windsor,ON,Canada,,false,2648626000023364266,,,,
2648626000000760317,"Kernels Dufferin Mall - F0085",Open,"Kernels Popcorn Limited","900 Dufferin Rd",Toronto,ON,Canada,,false,2648626000023364266,,,,
2648626000000760318,"Kernels CrossIron Mills - F0086",Open,"Kernels Popcorn Limited","261055 Crossiron Blvd","Rocky View",AB,Canada,,false,2648626000023364266,,,,
2648626000000760319,"Kernels Southgate Centre - F0088",Open,"Kernels Popcorn Limited","5015 111 St NW",Edmonton,AB,Canada,,false,2648626000023364266,,,,
2648626000000760320,"Kernels Vaughan Mills - F0089",Open,"Kernels Popcorn Limited","1 Bass Pro Mills Dr",Vaughan,ON,Canada,,false,2648626000023364266,,,,
2648626000000760321,"Kernels West Ed 2 Ice Palace - F0090",Open,"Kernels Popcorn Limited","8882- 170 Street NW",Edmonton,AB,Canada,,false,2648626000023364266,,,,
2648626000000760322,"Kernels St Laurent Centre - F0091",Open,"Kernels Popcorn Limited","1200 St Laurent Blvd",Ottawa,ON,Canada,,false,2648626000023364266,,,,
2648626000000760323,"Kernels Fallsview - F0092",Open,"Kernels Popcorn Limited","6380 Fallsview Blvd","Niagara Falls",ON,Canada,,false,2648626000023364266,,,,
2648626000000760324,"L'OREAL CANADA INC",,,"5142 Boul. St.-Laurent",Montreal,Quebec,Canada,,false,2648626000000091029,,,,
2648626000000760325,"CosmoProf - Guelph",Open,"L'OREAL CANADA INC","3 Municipal St",Guelph,ON,,,false,2648626000023364266,,,,
2648626000000760326,CosmoProf-Mississauga,Open,"L'OREAL CANADA INC","2025 Dundas St E",Mississauga,ON,,,false,2648626000023364266,,,,
2648626000000760327,"Kiehl's Eaton Centre 021",Open,"L'OREAL CANADA INC","220 Yonge Street",Toronto,ON,,,false,2648626000023364266,,,,
2648626000000760328,"Kiehl's Chinook 007",Open,"L'OREAL CANADA INC","6455 Macleod Trail SW",Calgary,AB,,,false,2648626000023364266,,,,
2648626000000760329,"Kiehl's Coquitlam Centre 024",Open,"L'OREAL CANADA INC","2929 Barnet Highway",Coquitlam,BC,,,false,2648626000023364266,,,,
2648626000000760330,"Kiehl's Carrefour Laval 020",Open,"L'OREAL CANADA INC","3035 Boulevard le Carrefour",Laval,QC,,,false,2648626000023364266,,,,
2648626000000760331,"Kiehl's Dix30 016",Open,"L'OREAL CANADA INC","9130 Boulevard Leduc",Brossard,QC,,,false,2648626000000091029,,,,
2648626000000760332,"Kiehl's Guildford 014",Open,"L'OREAL CANADA INC","10355 152nd St",Surrey,BC,,,false,2648626000023364266,,,,
2648626000000760333,"Kiehl's Halifax 022",Open,"L'OREAL CANADA INC","7001 Mumford Rd",Halifax,NS,,,false,2648626000023364266,,,,
2648626000000760334,"Kiehl's HBC Queen",Open,"L'OREAL CANADA INC","176 Yonge St",Toronto,ON,,,false,2648626000000091029,,,,
2648626000000760335,"Kiehl's Mapleview 008",Open,"L'OREAL CANADA INC","900 Maple Ave",Burlington,ON,,,false,2648626000023364266,,,,
2648626000000760336,"Kiehl's Market Mall 019",Open,"L'OREAL CANADA INC","3625 Shaganappi Trail NW",Calgary,AB,,,false,2648626000023364266,,,,
